Autore,Titolo,Editore,Classificazione
George Orwell,1984,Mondadori,Romanzo
Ilaria Beltramme,101 cose da fare a Roma almeno una volta nella vita,Newton Compton,Attualita
Trilussa,I Sonetti,Mondadori,Poesia
Ilaria Beltramme,101 perchè sulla storia di Roma che non puoi non sapere,Newton Compton,Attualita
Laura Rangoni,500 ricette di piatti unici,Newton Compton,Cucina
Claudio Giorlandino,A cavallo della luna. La storia di Pino,Tullio Pironti,Romanzo
Umberto Eco,Il Fascismo Eterno,La nave di Teseo,Saggi
Caroline Taggart,A Classical Education: The Stuff You Wish You'd Been Taught At School,Michael O'Mara,Lingue
Danielle Steel,A Good Woman,Corgi,Romanzo
Khaled Hosseini,A Thousand Splendid Suns,Riverhead Books,Romanzo
Jonathan Coe,A Touch of Love,Penguin,Romanzo
Patrick Weiller,Il Giudizio di Salomone,ElectaStorie,Romanzo
Nigel Rees,"A Word in Your Shell-Like: 6,000 Curious & Everyday Phrases Explained",HarperCollins UK,Lingue
Giuseppe Mazzini,Pensieri sulla democrazia in Europa,Feltrinelli,Politica
"Andrea Camilleri, Carlo Lucarelli",Acqua in bocca,Fastbook,Romanzo
Gianrico Carofiglio,Ad occhi chiusi,Sellerio Editore Palermo,Romanzo
Agatha Christie,"Addio, miss Marple",Mondadori,Gialli
"Davide Vasta, Marco Andrea De",Adobe Dreamweaver CS4,Apogeo,Informatica
"Marco Feo, Andrea Rotondo",Adobe Flash CS4. Creare e gestire animazioni e siti web interattivi e dinamici,Apogeo,Informatica
vuoto,Adobe Photoshop CS4. Lavorare con creativit? su fotografie e immagini digitali,Apogeo,Informatica
Edimatica,Adobe Photoshop CS5. Lavorare con creativit? su fotografie e immagini digitali,Apogeo,Informatica
"Nunzio Trotta, Domenico Belardo",Adobe Premiere Pro CS5. Guida all'uso,FAG,Video
Martin Hewings,Advanced Grammar in Use With CD ROM,Cambridge University Press,Lingue
"Richard Du Toit, Gerald Hinde, William Taylor",Africa's Big Five,Struik Publishers,Animali
vuoto,AJAX - Guida per lo sviluppatore,Hoepli,Informatica
Sigmund Freud,Al di la' del principio del piacere,Newton Compton,Psicologia
Antonio Nughes,Alghero,Zonza Editori,Viaggi
Bassett,Alice's Adventures in Wonderland (Oxford Bookworms Library),"Oxford University Press, USA",Lingue
William F. Wheeler,"Alive in Africa: My Journeys on Foot in the Sahara, Rift Valley, and Rain Forest",Lyons Press,Avventura
"Wilbur Smith, G. Hirzer",Alle fonti del Nilo,Longanesi,Romanzo
Annalisa Andreoni,Ama l'italiano. Segreti e meraviglie della lingua più bella,Piemme,Lingue
Alberto Angela,Amore e sesso nell'antica Roma,Mondadori,Storia
Khaled Hosseini,And the Mountains Echoed,Bloomsbury Publishing PLC,Romanzo
Dan Brown,Angeli E Demoni,European Schoolbooks,Romanzo
"Andrea Carandini, M. C. Capanna, M. Ippoliti",Angoli di Roma. Guida inconsueta alla città antica,Laterza,Archeologia
Alberto Bevilacqua,Anima carnale,Mondadori,Romanzo
"George Orwell, Malcolm Bradbury",Animal Farm: A Fairy Story (Penguin Modern Classics),Penguin Classics,Romanzo
Jorge Luis Borges,Finzioni,ET Scrittori,Romanzo
"Publio Cornelio Tacito, Bianca Ceva, B. Ceva, Cesare Questa",Annali. Testo latino a fronte,BUR Biblioteca Univ. Rizzoli,Classici
Giorgio Bocca,Annus horribilis,Feltrinelli,Attualita
Ansel Adams,"The Camera (Ansel Adams Photography, Book 1)","Little, Brown",Fotografia
vuoto,Apache Pocket Reference,O'Really - HOPS,Informatica
"Hugh E. Williams, David Lane",Applicazioni Web database con PHP e MySQL,Tecniche Nuove,Informatica
Andrea Augello,Arditi contro. I primi anni di piombo a Roma 1919-1923,Ugo Mursia Editore,Storia
"Kelly M. Greenhill, P. Faccia",Armi di migrazione di massa,Libreria Editrice Goriziana,Sociologia
Danila Comastri Montanari,Ars moriendi. Indagine a Pompei,Hobby Work Publishing,Romanzo
vuoto,ASP.NET 2.0,Wrox - Hoepli,Informatica
Dk,Atlas (World Atlas),Dorling Kindersley Publishers Ltd,Geografia
Ian McEwan,Atonement,Vintage Books,Romanzo
Christine Lindop,"Australia and New Zealand: Stage 3 (Oxford Bookworms Library, Factfiles)",Oxford University Press,Lingue
Jorge Luis Borges,L'Aleph,Feltrinelli,Romanzo
"Matteo Trasi, Luigi Santapaga",AutoCad 2011,Apogeo,CAD
Massimo Mantellini,Bassa risoluzione,Vele,Sociologia
"J. G. Williams, Norman Arlott, Roger Tory Peterson Institute",Birds of East Africa (Collins Field Guides),Collins,Animali
Ian Rankin,Black & Blue,Orion Books,Gialli
Carsten. Wartmann,Blender. La guida. Con CD-ROM.,Mondadori Informatica,Informatica
"Aldous Huxley, Margaret Atwood",Brave New World,Vintage Classics,Romanzo
"Christopher Negus, Francois Caen","BSD UNIX Toolbox: 1000+ Commands for FreeBSD, OpenBSD and NetBSD",Wiley,Informatica
Deitel & Deitel,C - Corso completo di programmazione,Apogeo,Informatica
vuoto,C# 2005 Guida per lo sviluppatore,Hoepli,Informatica
"Harvey M. Deitel, Paul J. Deitel",C++ Fondamenti di programmazione,Apogeo,Informatica
"Harvey M. Deitel, Paul J. Deitel",C++ Tecniche avanzate di programmazione,Apogeo,Informatica
"Jorge Amado, C. M. Valentinetti",Cacao,Mondadori,Romanzo
Wilbur Smith,Cacciatori di diamanti,Tea,Romanzo
Simonetta Agnello Hornby,Caffè amaro,Feltrinelli Editore S.R.L,Romanzo
